job_id,title,company,role_category,location,work_model,employment_type,source_link,screenshot,salary,ai_or_automation_requirement,qa_qc_relevance,collected_at,ai_impact
01,QA - Software / Device Manager,OptiSigns,QA/QC Manager - Software and Device,"Ho Chi Minh City, Vietnam",Not specified,Not specified,https://www.linkedin.com/jobs/search-results/?currentJobId=4412541855&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=gQHwBxElSYH40RWb1giZyw%3D%3D&trackingId=RhAuF57%2FGoqLgTti67azMA%3D%3D&keywords=QA%20project%20manager&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-01.png,"Competitive pay; exact amount not disclosed","Automation testing tools/frameworks are a plus",Direct QA/QC,2026-05-28,"AI can summarize defect trends and QA metrics, but team leadership and release decisions remain human responsibilities."
02,Software QA Development Engineer / SDET,NVIDIA,SDET / Software QA Development,"Cu Chi, Ho Chi Minh City, Vietnam",Not specified,Full-time,https://www.linkedin.com/jobs/search-results/?currentJobId=4412435856&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nCHQTtG23pTl0CXWWaEWog%3D%3D&trackingId=AlG8FDPyHzs1Q6ZEc75FTA%3D%3D&keywords=QA%20AI%20&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-02.png,Not disclosed,"AI development tools; model testing; LLM benchmarking",Direct QA/QC,2026-05-28,"QA expands into model testing and LLM benchmarking while keeping traditional automation discipline."
03,QA Engineer,Dwarves Foundation,"QA Engineer - Automation, ML/Data, Security","Ho Chi Minh City, Vietnam",Hybrid,Not specified,https://www.linkedin.com/jobs/search-results/?currentJobId=4417836656&eBP=NOT_ELIGIBLE_FOR_CHARGING&keywords=QA%20LLM&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-03.png,"USD 1,800 - 2,000","ML feature testing; ML data-output validation; test automation",Direct QA/QC,2026-05-28,"AI-related QA needs reliable output validation and security-aware integration tests."
04,Automation QA Engineer (AI-First),OPSWAT,Automation QA / AI-first testing,"Ho Chi Minh City, Vietnam",Not specified,Not specified,https://www.linkedin.com/jobs/search-results/?currentJobId=4405677328&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=QrIqoYgrzBibAhP8P7IQQw%3D%3D&trackingId=xjRq5Vvoou3qiVFC1wOUCA%3D%3D&keywords=QA%20AI%20automation&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-04.png,Not disclosed,"AI-first testing; AI/ML techniques; intelligent test generation; self-healing automation",Direct QA/QC,2026-05-28,"AI improves coverage and maintenance but generated/self-healing tests must be reviewed."
05,Design Verification Engineer,Hyphen Deux,Design Verification / QA Engineering,"SHTP, Ho Chi Minh City, Vietnam",Flexible/remote if necessary,Not specified,https://www.linkedin.com/jobs/search-results/?currentJobId=4409305398&keywords=tester&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-05.png,"Up to USD 5,000","Regression automation and verification tooling; no explicit AI skill",Direct verification/QA,2026-05-28,"AI can support log review and coverage suggestions, but verification needs rigorous evidence."
06,"Full-stack Test Engineer (Manual, Automation)",KMS Technology,Manual and Automation QA,"Ho Chi Minh City / Da Nang / Remote in Vietnam",Hybrid/remote/flexible,Not specified,https://www.linkedin.com/jobs/search-results/?currentJobId=4413857994&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=HkZUbvjD8UsrG4ElrUdhAA%3D%3D&trackingId=NnrOHIgIfuNRkH7zwwhz6A%3D%3D&keywords=QA%20full%20stack&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-06.png,"Attractive salary and benefits; exact amount not disclosed","AI chat tools; AI coding assistants; prompt writing; responsible AI use",Direct QA/QC,2026-05-28,"AI supports research, debugging, test snippets, and documentation, but privacy and output limitations matter."
07,Senior QA Tester (Manual / Casual Games),SUN.STUDIO,Senior Manual Game QA,"Ho Chi Minh City, Vietnam",Not specified,Not specified,https://www.linkedin.com/jobs/search-results/?currentJobId=4410899547&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=UrAqazYZOP9SeOkusma0tw%3D%3D&trackingId=Ykhlx%2BkFFcgElfx%2BKLBeWg%3D%3D&keywords=game%20tester&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-07.png,Not disclosed,"AI may support hiring; no AI testing skill required",Direct QA/QC,2026-05-28,"AI can draft checklist ideas, but game quality still requires human playtesting."
08,QC Engineer,Merkle,QC Engineer - Salesforce CRM and AI Solutions,"Ho Chi Minh City, Vietnam",Not specified,Full-time fixed term,https://www.linkedin.com/jobs/search-results/?currentJobId=4412624909&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Einm7BJQjjQTcn71lklCKw%3D%3D&trackingId=wdbm6i0hmwdFMVwSCtvwlg%3D%3D&keywords=QA%20AI&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-08.png,Not disclosed,"AI testing procedures; prompt regression; output quality evaluation; AI-agent safety; AI tools in QC work",Direct QA/QC,2026-05-28,"QA must validate prompt stability, model degradation, and AI-agent safety, not just UI behavior."
09,Data Test Engineer,HCLTech Vietnam,Data Test Engineer,"Ho Chi Minh City, Vietnam",Hybrid,Not specified,https://www.linkedin.com/jobs/search-results/?currentJobId=4415055616&eBP=CwEAAAGebK65DFKLtUbJHpuSo1iS7TkhoWgIaobj94g2Hs53rFsarHJP5pR1JrHhxF7_Ze5gYcBaYw8loD_AcWQOQDFi_AlcdMYOC7W1XhrgQcYmnDr0zfJZkUgqWqGvqcmj3edUHOA_7_7A4yTXz0cs8gVJvT_vNJS0QWYrSAe2dd_m-Va8fcNNAseq34NptdJZikjGZFnxpnrP7fDe_d2wHU-Sv5X1KazSaJvzPxRPJPrAFtrEjIYu3Bza6U0JUUkUVj-Z86m6eKqB-W9fP8CpGuSCLTYkLTt0m7Oitdt6hGfcXY5Z-MGZ-l353wPcBmrwev47yGAqVUmvLnzFXKdEs2PNIQ-rLSDueUlZbsUGHaK3vILeJ8Kb3-ROQXYiZzaZoBrjD4n23fHE0O4dqlGHbLAg-AAIST77qikfUKTW3AvC2R0t6J-AcytwcOKkTOE__y_POX-a03fUEhD-RUt2BZr7BgxpL1s08Boby4ic8-EO_en_&refId=ax7EyEW2ZfzO4L8MQjAk0Q%3D%3D&trackingId=qa3EGQUxpKYOhCL0skPMSA%3D%3D&keywords=QA%20database&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-09.png,Not disclosed,"Data validation and automated data quality tools; no explicit AI/LLM skill",Direct QA/QC,2026-05-28,"AI can help generate SQL/data checks, but banking data testing needs traceable evidence."
10,Quality Assurance Engineer,Quantum Movement,Quality Assurance Engineer - Mobile/Web,"District 3, Ho Chi Minh City",Onsite,Full-time / Contractor,https://www.linkedin.com/jobs/search-results/?currentJobId=4416023763&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=aELz4v6pDA4h5c5A68qhhw%3D%3D&trackingId=iE%2F6ru6%2FewOktOQTU55IRA%3D%3D&keywords=QA&origin=SEMANTIC_SEARCH_LANDING_PAGE,../images/job-10.png,Not disclosed,"Automation; computer vision/motion-tracking exposure preferred; no explicit AI/LLM skill",Direct QA/QC,2026-05-28,"AI can draft mobile automation scenarios, but senior QA must verify device, sensor, and performance behavior."
